City,State,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size,State Code,Race,Count
Metairie,Louisiana,41.6,69515,76943,146458,7187,19871,2.39,LA,White,124270
Palmdale,California,32.6,76361,81989,158350,6388,41974,3.54,CA,Black or African-American,27398
Jacksonville,Florida,35.7,419203,448828,868031,75432,85650,2.62,FL,Black or African-American,282692
Reno,Nevada,35.7,122292,119151,241443,17089,37070,2.46,NV,White,197335
Mayagüez,Puerto Rico,38.1,30799,35782,66581,,,,PR,Asian,235
Chesapeake,Virginia,36.7,114964,120465,235429,29772,13966,2.73,VA,American Indian and Alaska Native,2087
Oshkosh,Wisconsin,33,32905,33652,66557,3809,2348,2.3,WI,Hispanic or Latino,1972
Paterson,New Jersey,34,70640,77117,147757,1694,49810,3.37,NJ,Asian,9653
El Cajon,California,32.7,54450,49238,103688,7103,31865,3.14,CA,Hispanic or Latino,31542
Sioux Falls,South Dakota,34.6,86596,84934,171530,8658,12934,2.38,SD,Asian,4689
Lancaster,California,30.9,80668,80445,161113,7892,17247,3.25,CA,Hispanic or Latino,57423
Greensboro,North Carolina,35.5,132251,153093,285344,14011,26667,2.36,NC,Asian,12683
Enterprise,Nevada,34.1,69146,66328,135474,7526,31173,2.89,NV,Hispanic or Latino,25307
Muncie,Indiana,27.4,32446,37255,69701,2968,1062,2.35,IN,White,59962
Clovis,California,37.8,52392,51780,104172,6173,13409,2.76,CA,Hispanic or Latino,23744
Scranton,Pennsylvania,38.5,37975,39137,77112,5059,8069,2.39,PA,Black or African-American,6256
El Cajon,California,32.7,54450,49238,103688,7103,31865,3.14,CA,Asian,4561
Elk Grove,California,36.1,80057,86833,166890,7762,38693,3.34,CA,American Indian and Alaska Native,2020
Bellflower,California,33.4,38936,39498,78434,2154,24607,3.58,CA,American Indian and Alaska Native,783
West Valley City,Utah,30.7,68235,67989,136224,4880,30712,3.81,UT,Hispanic or Latino,44080
Oceanside,California,39.4,87482,88232,175714,18051,37492,2.72,CA,Asian,20882
Federal Way,Washington,36.4,49151,46037,95188,7135,18565,2.68,WA,Asian,16026
Passaic,New Jersey,30.4,36505,34577,71082,693,24174,3.56,NJ,White,30352
Rochester,New York,31.4,100135,109673,209808,7288,17735,2.36,NY,Hispanic or Latino,38004
Boynton Beach,Florida,45.8,33701,40271,73972,4727,15431,2.45,FL,Asian,2114
Washington,District of Columbia,33.8,319705,352523,672228,25963,95117,2.24,DC,Hispanic or Latino,71129
Las Cruces,New Mexico,32.7,47835,53809,101644,9421,11888,2.58,NM,Hispanic or Latino,60614
Johns Creek,Georgia,39,40282,43057,83339,1983,29000,3.19,GA,American Indian and Alaska Native,826
Chicago,Illinois,34.2,1320015,1400541,2720556,72042,573463,2.53,IL,American Indian and Alaska Native,23323
Camden,New Jersey,27.9,36437,39694,76131,1425,11317,3,NJ,Black or African-American,35237
Deltona,Florida,39.9,44853,43621,88474,5664,7098,2.89,FL,Black or African-American,12056
Westland,Michigan,39.9,37742,44253,81995,4756,6429,2.41,MI,Black or African-American,16422
Salinas,California,30.4,77765,79621,157386,4020,58693,3.72,CA,Black or African-American,3391
Hillsboro,Oregon,35.3,50926,51434,102360,6625,19531,2.68,OR,American Indian and Alaska Native,4524
Weston,Florida,38.6,32956,36991,69947,1507,30876,3.34,FL,White,61021
Worcester,Massachusetts,34.9,90951,93855,184806,9408,36907,2.43,MA,White,131898
Dale City,Virginia,33.4,35984,35415,71399,6085,22306,3.65,VA,American Indian and Alaska Native,548
Dearborn,Michigan,33.5,46482,48698,95180,3163,23920,3.04,MI,White,88742
Hayward,California,34.3,78152,80148,158300,4385,60970,3.32,CA,Hispanic or Latino,64880
Green Bay,Wisconsin,32.9,52517,52704,105221,5519,9813,2.37,WI,American Indian and Alaska Native,6547
Brentwood,New York,34.2,31395,32397,63792,1492,27058,4.98,NY,White,46347
New Rochelle,New York,40.6,38871,40967,79838,2780,26960,2.85,NY,Asian,4218
Lawrence,Kansas,27.4,45592,48324,93916,2986,8701,2.53,KS,American Indian and Alaska Native,4239
Anchorage,Alaska,32.2,152945,145750,298695,27492,33258,2.77,AK,Black or African-American,23107
South San Francisco,California,39.4,34177,33094,67271,1839,27528,3.33,CA,American Indian and Alaska Native,535
Rockville,Maryland,38.1,31205,35793,66998,1990,25047,2.6,MD,White,41692
Portland,Oregon,36.7,313516,318671,632187,29940,86041,2.43,OR,White,524258
Garden Grove,California,37.8,86779,88605,175384,4316,80677,3.66,CA,Asian,71737
Yuba City,California,34.5,33654,33290,66944,4706,18032,2.9,CA,Hispanic or Latino,20890
Minneapolis,Minnesota,32.4,206547,204388,410935,15217,70769,2.26,MN,White,277862
Odessa,Texas,31.2,61119,57861,118980,5509,15845,2.92,TX,Hispanic or Latino,63586
Pomona,California,32.1,74945,78307,153252,3251,53879,3.63,CA,Hispanic or Latino,108787
Broomfield,Colorado,36.8,31755,33310,65065,3966,5316,2.53,CO,White,58341
Orlando,Florida,33.1,130940,139977,270917,12782,50558,2.42,FL,Hispanic or Latino,89306
Laguna Niguel,California,45.8,30193,35619,65812,2648,12571,2.58,CA,Hispanic or Latino,9203
Fort Myers,Florida,37.3,36850,37165,74015,4312,15365,2.45,FL,White,50169
Tacoma,Washington,37.7,100914,107036,207950,19040,31863,2.48,WA,White,149859
Gary,Indiana,38.1,35876,41478,77354,3952,1884,2.35,IN,Hispanic or Latino,6266
Cambridge,Massachusetts,31.5,55421,54981,110402,2495,27757,2.06,MA,Black or African-American,11880
Killeen,Texas,29.2,69442,71367,140809,24281,15769,2.72,TX,White,75823
Folsom,California,40.9,41051,35317,76368,4187,13234,2.62,CA,American Indian and Alaska Native,998
Richmond,Virginia,33.6,104793,115496,220289,12538,15741,2.29,VA,Black or African-American,109722
Sparks,Nevada,36.1,47780,48318,96098,7315,15690,2.63,NV,White,78737
Hoover,Alabama,38.5,38040,46799,84839,4819,8229,2.58,AL,Asian,4759
Clearwater,Florida,47,55225,57754,112979,10631,17686,2.4,FL,White,97195
Fort Collins,Colorado,29.6,80893,80288,161181,8425,9704,2.45,CO,American Indian and Alaska Native,3271
Toledo,Ohio,36.1,135455,144323,279778,15286,9257,2.29,OH,Hispanic or Latino,23614
Gaithersburg,Maryland,35.7,32211,35234,67445,2126,28133,2.73,MD,White,36639
Sunrise,Florida,37.7,41471,51235,92706,4108,38209,2.98,FL,Black or African-American,33951
Pasco,Washington,28.6,35298,32799,68097,2052,16265,3.45,WA,White,55741
Evanston,Illinois,36.8,34146,41377,75523,2058,15003,2.29,IL,American Indian and Alaska Native,544
Hialeah,Florida,43,111530,125552,237082,1844,170148,3.31,FL,Hispanic or Latino,227508
New Rochelle,New York,40.6,38871,40967,79838,2780,26960,2.85,NY,White,44435
Newport News,Virginia,32.8,88385,94000,182385,18896,12589,2.46,VA,Black or African-American,79245
Independence,Missouri,38.6,54348,62907,117255,10220,4911,2.33,MO,Asian,558
Plantation,Florida,40.6,42881,49674,92555,4037,27902,2.73,FL,White,66970
Orem,Utah,26.1,48695,45762,94457,2828,12808,3.26,UT,Hispanic or Latino,18342
Saint Charles,Missouri,34.9,32054,36747,68801,4371,5274,2.33,MO,White,58662
New Bedford,Massachusetts,38.6,43793,51166,94959,4185,19024,2.39,MA,White,63938
Brentwood,New York,34.2,31395,32397,63792,1492,27058,4.98,NY,Hispanic or Latino,40111
Salem,Oregon,35.4,80839,83704,164543,9685,19668,2.69,OR,Asian,6076
Oxnard,California,31,101906,105346,207252,6367,78678,4.08,CA,Asian,18249
Chino Hills,California,41.9,39639,38674,78313,3358,24764,3.05,CA,American Indian and Alaska Native,1773
Corpus Christi,Texas,35,160488,163594,324082,25078,30834,2.69,TX,American Indian and Alaska Native,2972
Danbury,Connecticut,37.3,43435,41227,84662,3752,25675,2.74,CT,Hispanic or Latino,25145
Gilbert,Arizona,33.2,116711,130812,247523,10817,24531,3.2,AZ,White,211322
San Clemente,California,45.2,34076,31456,65532,3970,8109,2.64,CA,Hispanic or Latino,10421
Norwalk,California,35,53125,54020,107145,3027,39396,3.88,CA,Black or African-American,5195
Brownsville,Texas,30.6,87689,96199,183888,4211,53301,3.48,TX,Asian,1589
San Bernardino,California,28.5,108671,107466,216137,7741,55135,3.55,CA,Hispanic or Latino,136214
Lansing,Michigan,31.4,54333,59777,114110,5327,8371,2.39,MI,American Indian and Alaska Native,5254
Arlington,Virginia,34.4,113981,115183,229164,12719,55205,2.19,VA,Hispanic or Latino,35911
Pompano Beach,Florida,42.5,56569,51202,107771,5145,32733,2.55,FL,Hispanic or Latino,23225
Murfreesboro,Tennessee,30.2,60704,65417,126121,5199,8948,2.6,TN,Asian,7265
Delray Beach,Florida,47.9,32219,34042,66261,4232,16639,2.35,FL,Hispanic or Latino,6397
Tracy,California,35.5,43156,43937,87093,3025,25410,3.42,CA,Black or African-American,5241
Miami,Florida,40.4,215840,225149,440989,7233,260789,2.5,FL,American Indian and Alaska Native,1571
Brownsville,Texas,30.6,87689,96199,183888,4211,53301,3.48,TX,Hispanic or Latino,170041
Victorville,California,30.6,60989,61247,122236,7484,21959,3.47,CA,Asian,7755
Flint,Michigan,35.3,48984,49313,98297,3757,2138,2.38,MI,American Indian and Alaska Native,1508
Irving,Texas,32.3,117189,119428,236617,6207,86756,2.78,TX,Hispanic or Latino,97862
Whittier,California,36.1,44397,43039,87436,2790,17145,3.11,CA,Asian,3503
Davie,Florida,40.8,48754,52140,100894,4655,26532,2.72,FL,American Indian and Alaska Native,464
Highlands Ranch,Colorado,39.6,49186,53281,102467,4840,8827,2.72,CO,Asian,5650
New Rochelle,New York,40.6,38871,40967,79838,2780,26960,2.85,NY,Black or African-American,17723
Santa Monica,California,40.6,46732,46487,93219,2008,24448,2,CA,American Indian and Alaska Native,2197
Edinburg,Texas,29.3,39422,45079,84501,2409,16569,3.31,TX,Asian,812
Gaithersburg,Maryland,35.7,32211,35234,67445,2126,28133,2.73,MD,American Indian and Alaska Native,672
Redondo Beach,California,43,34855,33330,68185,3014,13536,2.34,CA,Black or African-American,2234
Newton,Massachusetts,42.3,41985,46824,88809,1814,21692,2.71,MA,White,69380
Olathe,Kansas,33,65046,69270,134316,6042,11913,2.97,KS,American Indian and Alaska Native,1872
Temple,Texas,33.6,33512,38785,72297,7333,3968,2.59,TX,Asian,1781
Sparks,Nevada,36.1,47780,48318,96098,7315,15690,2.63,NV,Hispanic or Latino,29159
Port Saint Lucie,Florida,42.1,84069,95341,179410,12416,34003,2.91,FL,Asian,7967
Vacaville,California,35.8,50091,46703,96794,9064,10577,2.9,CA,White,66825
Medford,Oregon,38.6,39606,40189,79795,6632,6185,2.65,OR,Asian,2135
Gary,Indiana,38.1,35876,41478,77354,3952,1884,2.35,IN,Black or African-American,61416
Lewisville,Texas,31.6,52776,52032,104808,4211,24865,2.78,TX,American Indian and Alaska Native,1371
Palatine,Illinois,38,36506,32763,69269,2629,21760,2.69,IL,Asian,8145
Oxnard,California,31,101906,105346,207252,6367,78678,4.08,CA,Black or African-American,7183
Stockton,California,32.5,150976,154674,305650,12822,79583,3.16,CA,Black or African-American,41161
Hartford,Connecticut,31,58042,65972,124014,3130,28467,2.59,CT,Hispanic or Latino,55959
McAllen,Texas,32.3,68332,71921,140253,4356,37691,3.19,TX,American Indian and Alaska Native,664
Missouri City,Texas,37.2,34932,36846,71778,4274,18556,3.03,TX,Hispanic or Latino,10007
Bend,Oregon,37.3,42294,44723,87017,6199,3032,2.39,OR,Black or African-American,465
Thornton,Colorado,33.1,65482,67977,133459,7261,17949,2.97,CO,Hispanic or Latino,49241
Parma,Ohio,40.8,38425,41518,79943,5028,6909,2.42,OH,Black or African-American,2928
Walnut Creek,California,47.6,31994,36912,68906,4977,13624,2.22,CA,Hispanic or Latino,5212
Allen,Texas,37.2,51324,46814,98138,3505,19649,3.04,TX,Black or African-American,13140
Tacoma,Washington,37.7,100914,107036,207950,19040,31863,2.48,WA,Asian,26909
Turlock,California,36.2,33190,39103,72293,3397,14686,2.76,CA,White,59308
Fairfield,California,34.7,55550,57422,112972,8607,24503,3.14,CA,Black or African-American,18274
Walnut Creek,California,47.6,31994,36912,68906,4977,13624,2.22,CA,Black or African-American,1705
Akron,Ohio,38.1,96886,100667,197553,12878,10024,2.24,OH,Asian,9033
Arlington Heights,Illinois,45.9,37627,39369,76996,3027,14630,2.38,IL,Black or African-American,1222
Pleasanton,California,41.3,36662,42857,79519,2424,23208,2.87,CA,Hispanic or Latino,7949
Amarillo,Texas,33.8,99391,100260,199651,11008,21124,2.64,TX,White,174214
Rochester,New York,31.4,100135,109673,209808,7288,17735,2.36,NY,Asian,8748
Cleveland,Ohio,36,186436,201623,388059,19849,18830,2.24,OH,White,166958
Missouri City,Texas,37.2,34932,36846,71778,4274,18556,3.03,TX,Asian,17854
Allen,Pennsylvania,33.5,60626,59581,120207,5691,19652,2.67,PA,White,74187
Lake Forest,California,40.3,41515,40982,82497,3748,20784,2.76,CA,Black or African-American,3526
Anaheim,California,33.6,179603,171135,350738,9796,137133,3.45,CA,Hispanic or Latino,201593
Amarillo,Texas,33.8,99391,100260,199651,11008,21124,2.64,TX,Hispanic or Latino,65392
Glendale,Arizona,34.4,116795,123319,240114,13241,44133,2.89,AZ,Asian,15245
Casas Adobes,Arizona,44.8,30890,34375,65265,6601,7024,2.24,AZ,Hispanic or Latino,13609
Springfield,Massachusetts,31.8,74744,79592,154336,5723,16226,2.81,MA,Asian,5606
Lakewood,Colorado,37.7,76013,76576,152589,9988,14169,2.29,CO,Black or African-American,2679
Saint Joseph,Missouri,35.7,37688,38408,76096,5846,3755,2.58,MO,Asian,1271
Largo,Florida,45.1,38166,42841,81007,8310,10489,2.28,FL,Black or African-American,5860
Thornton,Colorado,33.1,65482,67977,133459,7261,17949,2.97,CO,American Indian and Alaska Native,2967
Minneapolis,Minnesota,32.4,206547,204388,410935,15217,70769,2.26,MN,Hispanic or Latino,39981
Norwalk,California,35,53125,54020,107145,3027,39396,3.88,CA,Hispanic or Latino,76020
Ann Arbor,Michigan,28.1,58789,58281,117070,3614,20717,2.17,MI,Hispanic or Latino,5888
Milpitas,California,36.8,40098,37519,77617,1608,39436,3.32,CA,American Indian and Alaska Native,599
Orem,Utah,26.1,48695,45762,94457,2828,12808,3.26,UT,American Indian and Alaska Native,976
Lexington-Fayette  county,Kentucky,34.4,154032,160456,314488,16661,28613,2.34,KY,Hispanic or Latino,21766
Toms River,New Jersey,43.7,43864,43886,87750,5042,6852,2.71,NJ,Hispanic or Latino,10267
Bridgeport,Connecticut,34.1,71509,76110,147619,4646,44475,2.86,CT,Hispanic or Latino,59036
Thousand Oaks,California,44.8,65113,64216,129329,6323,25330,2.79,CA,American Indian and Alaska Native,2690
Jackson,Mississippi,31.7,79039,91772,170811,8146,1789,2.65,MS,Black or African-American,139567
Tustin,California,33.4,39511,41052,80563,2434,25034,3.27,CA,American Indian and Alaska Native,538
Lynwood,California,29.4,35634,36371,72005,776,28061,4.43,CA,Black or African-American,5346
Peoria,Illinois,33.1,56229,62432,118661,6634,7517,2.4,IL,Asian,6989
German,Maryland,34.9,41115,43007,84122,2443,27877,2.95,MD,Hispanic or Latino,18202
San Marcos,California,35.4,45246,47688,92934,5189,21558,3.13,CA,American Indian and Alaska Native,821
Beaumont,Texas,31.6,57326,60784,118110,7584,10516,2.47,TX,Hispanic or Latino,18815
Perris,California,26.9,41623,33336,74959,1321,23277,4.78,CA,White,23882
Erie,Pennsylvania,35.3,48618,50852,99470,7093,6275,2.31,PA,Asian,3306
Albany,New York,32.8,47627,50825,98452,3643,11948,2.08,NY,Black or African-American,31303
Aurora,Illinois,31.7,101964,101751,203715,4988,50980,3.3,IL,American Indian and Alaska Native,1179
Lubbock,Texas,29.2,122320,126731,249051,10588,14226,2.61,TX,Hispanic or Latino,90706
Toledo,Ohio,36.1,135455,144323,279778,15286,9257,2.29,OH,White,188325
Dothan,Alabama,38.9,32172,35364,67536,6334,1699,2.59,AL,Asian,1175
Round Rock,Texas,34.9,56646,59193,115839,6804,18237,3.13,TX,Hispanic or Latino,37151
Decatur,Illinois,40.4,34646,38210,72856,5291,1224,2.23,IL,Asian,1343
Savannah,Georgia,30.3,69389,76295,145684,9717,10355,2.57,GA,White,57690
Costa Mesa,California,34.8,59097,54089,113186,4095,26645,2.59,CA,Hispanic or Latino,38239
Troy,Michigan,43.3,42371,40905,83276,2975,21004,2.59,MI,Asian,22721
Midland,Texas,32.1,66595,66355,132950,5753,17061,2.78,TX,Hispanic or Latino,58677
Davis,California,26.3,33493,34163,67656,2176,13997,2.69,CA,American Indian and Alaska Native,779
Saint Louis,Missouri,35,153026,162659,315685,17060,21802,2.16,MO,American Indian and Alaska Native,2746
High Point,North Carolina,35.5,51751,58077,109828,5204,16315,2.65,NC,White,58004
Cedar Park,Texas,34.4,31248,33589,64837,3090,5207,3.05,TX,Asian,5654
Raleigh,North Carolina,32.8,219184,232765,451949,16747,65125,2.42,NC,Hispanic or Latino,51786
Warwick,Rhode Island,42.6,39289,42409,81698,5799,5318,2.4,RI,Black or African-American,1212
Spokane Valley,Washington,36,49933,44975,94908,7984,4199,2.39,WA,American Indian and Alaska Native,2473
Gary,Indiana,38.1,35876,41478,77354,3952,1884,2.35,IN,White,13498
Garden Grove,California,37.8,86779,88605,175384,4316,80677,3.66,CA,American Indian and Alaska Native,1713
Raleigh,North Carolina,32.8,219184,232765,451949,16747,65125,2.42,NC,Black or African-American,138242
Fort Smith,Arkansas,34.9,43346,44849,88195,3408,13177,2.44,AR,American Indian and Alaska Native,2993
Franklin,Tennessee,38.3,34991,37644,72635,3303,6876,2.73,TN,White,61459
Lauderhill,Florida,35.7,32813,38761,71574,1965,25471,3.02,FL,Asian,2662
El Paso,Texas,33.1,332797,348339,681136,47693,159709,3.03,TX,Asian,12370
Camden,New Jersey,27.9,36437,39694,76131,1425,11317,3,NJ,White,19907
Las Vegas,Nevada,37.5,310568,313201,623769,42397,127609,2.79,NV,American Indian and Alaska Native,8456
Philadelphia,Pennsylvania,34.1,741270,826172,1567442,61995,205339,2.61,PA,American Indian and Alaska Native,17500
San Buenaventura,California,37.7,53932,55785,109717,5980,18025,2.68,CA,Asian,6547
Cedar Rapids,Iowa,36.2,63109,67296,130405,7823,5404,2.32,IA,Black or African-American,11921
Ogden,Utah,31.3,44323,41127,85450,5080,12791,2.68,UT,White,74960
Lakeland,Florida,38.1,47840,56570,104410,7390,11592,2.56,FL,Asian,3348
Sunrise Manor,Nevada,32.5,93505,99103,192608,10663,56530,3.25,NV,American Indian and Alaska Native,3962
Indianapolis,Indiana,34.1,410615,437808,848423,42186,72456,2.53,IN,Black or African-American,253932
Huntington Beach,California,41.6,99967,101960,201927,10454,35368,2.67,CA,Black or African-American,4027
Cambridge,Massachusetts,31.5,55421,54981,110402,2495,27757,2.06,MA,American Indian and Alaska Native,906
Detroit,Michigan,34.8,319265,357859,677124,29511,39861,2.6,MI,White,104260
Bridgeport,Connecticut,34.1,71509,76110,147619,4646,44475,2.86,CT,Asian,8546
Kent,Washington,33.4,61825,65137,126962,7985,38175,3.06,WA,White,67918
Trenton,New Jersey,33.3,42581,41650,84231,2604,20428,3.04,NJ,American Indian and Alaska Native,98
Carmichael,California,41,29281,33934,63215,4225,7378,2.39,CA,American Indian and Alaska Native,2603
Winston-Salem,North Carolina,34.7,112520,128712,241232,14521,24302,2.47,NC,American Indian and Alaska Native,1415
Roanoke,Virginia,36.9,47252,52645,99897,6567,7346,2.35,VA,American Indian and Alaska Native,594
Gastonia,North Carolina,36.9,35527,39023,74550,3537,5715,2.67,NC,Hispanic or Latino,6653
Fall River,Massachusetts,39.3,43314,45456,88770,4143,14775,2.21,MA,Hispanic or Latino,9081
Lubbock,Texas,29.2,122320,126731,249051,10588,14226,2.61,TX,White,206318
Compton,California,30.1,49264,49184,98448,897,30660,4.08,CA,White,53919
Yakima,Washington,34,45147,48553,93700,4705,15717,2.74,WA,Black or African-American,924
Oceanside,California,39.4,87482,88232,175714,18051,37492,2.72,CA,Black or African-American,11907
Orange,California,35,67337,73658,140995,3993,34550,3.14,CA,White,100083
Mount Vernon,New York,38.5,31876,36745,68621,2064,23777,2.85,NY,American Indian and Alaska Native,356
Bloomington,Minnesota,40.9,43318,43118,86436,6176,10728,2.3,MN,American Indian and Alaska Native,1745
Rapid City,South Dakota,39.5,36122,37446,73568,7429,2375,2.31,SD,American Indian and Alaska Native,9159
Waldorf,Maryland,33.6,35640,39872,75512,6932,5954,2.69,MD,White,26788
Kirkland,Washington,40.8,42159,45108,87267,5156,18570,2.3,WA,Hispanic or Latino,6720
Elizabeth,New Jersey,34.2,65896,63116,129012,1131,63413,3.18,NJ,White,70873
Johns Creek,Georgia,39,40282,43057,83339,1983,29000,3.19,GA,Hispanic or Latino,5924
Grand Prairie,Texas,33.1,90811,96944,187755,7073,44888,3.18,TX,Hispanic or Latino,85543
Deltona,Florida,39.9,44853,43621,88474,5664,7098,2.89,FL,Asian,1292
Cape Coral,Florida,45,85626,89604,175230,14446,24185,2.85,FL,Hispanic or Latino,33016
Norwalk,California,35,53125,54020,107145,3027,39396,3.88,CA,American Indian and Alaska Native,1165
Fayetteville,Arkansas,27.1,41959,40873,82832,4744,6313,2.28,AR,Hispanic or Latino,5535
Lynchburg,Virginia,28.7,38614,41198,79812,4322,4364,2.48,VA,White,53727
Auburn,Washington,37.1,36837,39743,76580,5401,14842,2.73,WA,Black or African-American,4032
Bayonne,New Jersey,39.7,32705,33598,66303,2225,21899,2.62,NJ,White,41431
Alafaya,Florida,33.5,39504,45760,85264,4176,15842,2.94,FL,Hispanic or Latino,34897
Hialeah,Florida,43,111530,125552,237082,1844,170148,3.31,FL,Asian,1149
Weston,Florida,38.6,32956,36991,69947,1507,30876,3.34,FL,Hispanic or Latino,36687
Menifee,California,37.1,42866,44297,87163,6821,12481,3.06,CA,American Indian and Alaska Native,1639
Long Beach,California,34.6,238159,236013,474172,17463,127764,2.78,CA,American Indian and Alaska Native,12841
San Angelo,Texas,32.8,49669,50744,100413,8412,7859,2.5,TX,White,86655
Baton Rouge,Louisiana,31.2,111492,117104,228596,10633,12268,2.52,LA,Asian,7442
El Paso,Texas,33.1,332797,348339,681136,47693,159709,3.03,TX,American Indian and Alaska Native,7359
Shawnee,Kansas,40.1,32313,32745,65058,3575,4136,2.64,KS,American Indian and Alaska Native,485
Durham,North Carolina,33.2,121153,136445,257598,12528,38642,2.4,NC,Hispanic or Latino,36304
New Rochelle,New York,40.6,38871,40967,79838,2780,26960,2.85,NY,Hispanic or Latino,23548
Minneapolis,Minnesota,32.4,206547,204388,410935,15217,70769,2.26,MN,Asian,33854
Tyler,Texas,33.9,50422,53283,103705,4813,8225,2.59,TX,Asian,2543
San Mateo,California,39.3,50966,52558,103524,2730,34957,2.64,CA,American Indian and Alaska Native,682
Davenport,Iowa,35.2,50123,52454,102577,7090,4065,2.39,IA,White,88145
Tampa,Florida,35.3,175517,193511,369028,20636,58795,2.47,FL,American Indian and Alaska Native,2915
Scottsdale,Arizona,46.9,115712,121132,236844,16798,27207,2.17,AZ,White,205512
Wilmington,North Carolina,35.5,52346,63601,115947,5908,7401,2.24,NC,Hispanic or Latino,6811
Hartford,Connecticut,31,58042,65972,124014,3130,28467,2.59,CT,Asian,4105
Kendall,Florida,40.2,36658,39808,76466,1678,31180,2.81,FL,White,70266
Conroe,Texas,31.5,34907,33685,68592,4871,13839,2.65,TX,Hispanic or Latino,23863
Duluth,Minnesota,34.7,41271,44855,86126,5015,2258,2.25,MN,American Indian and Alaska Native,1894
Long Beach,California,34.6,238159,236013,474172,17463,127764,2.78,CA,White,277962
Eagan,Minnesota,36.8,31587,34701,66288,2699,8642,2.49,MN,Black or African-American,8032
San Leandro,California,41.8,43032,47679,90711,4111,34293,2.79,CA,White,40182
Columbia,Maryland,37.9,52202,51265,103467,6526,23249,2.68,MD,Hispanic or Latino,8033
Pittsburgh,Pennsylvania,32.9,149690,154695,304385,17728,28187,2.13,PA,White,208863
Tulsa,Oklahoma,35,197437,205654,403091,24672,43751,2.37,OK,White,279127
Bayonne,New Jersey,39.7,32705,33598,66303,2225,21899,2.62,NJ,Asian,7171
North Charleston,South Carolina,30.7,56549,55315,111864,9651,8789,2.82,SC,White,48956
Miramar,Florida,36.6,66157,70958,137115,3077,57179,3.41,FL,White,58914
Boulder,Colorado,29,56342,51000,107342,4061,12993,2.24,CO,Asian,8772
Paterson,New Jersey,34,70640,77117,147757,1694,49810,3.37,NJ,Black or African-American,45858
Alameda,California,41.4,37747,40867,78614,4504,18841,2.52,CA,Black or African-American,7364
Greensboro,North Carolina,35.5,132251,153093,285344,14011,26667,2.36,NC,White,144930
Garland,Texas,34.5,116406,120430,236836,10407,62975,3.12,TX,American Indian and Alaska Native,3083
Silver Spring,Maryland,33.8,40601,41862,82463,1562,30908,2.6,MD,Asian,8841
Montgomery,Alabama,35.4,94582,106004,200586,14955,9337,2.41,AL,White,73545
Kenner,Louisiana,36.9,33993,33113,67106,2485,12352,2.57,LA,Black or African-American,17172
Los Angeles,California,35,1958998,2012898,3971896,85417,1485425,2.86,CA,Hispanic or Latino,1936732
Delray Beach,Florida,47.9,32219,34042,66261,4232,16639,2.35,FL,Black or African-American,21138
Oxnard,California,31,101906,105346,207252,6367,78678,4.08,CA,White,165423
Somerville,Massachusetts,31,41028,39306,80334,2103,22292,2.43,MA,Asian,9498
Duluth,Minnesota,34.7,41271,44855,86126,5015,2258,2.25,MN,Asian,1721
Vista,California,29.3,50680,50204,100884,4957,23271,3.52,CA,Asian,7189
Surprise,Arizona,39.4,62875,65567,128442,11109,9929,2.9,AZ,Black or African-American,9079
Lancaster,California,30.9,80668,80445,161113,7892,17247,3.25,CA,American Indian and Alaska Native,2186
Dallas,Texas,32.6,639019,661063,1300082,41026,326825,2.59,TX,White,839169
Alhambra,California,41,42184,43388,85572,1673,44441,2.89,CA,Hispanic or Latino,31386
Citrus Heights,California,37.8,41982,45071,87053,6171,9466,2.49,CA,White,77525
Deltona,Florida,39.9,44853,43621,88474,5664,7098,2.89,FL,American Indian and Alaska Native,651
Brooklyn Park,Minnesota,35.1,37845,41305,79150,3506,17490,2.85,MN,White,41760
Rock Hill,South Carolina,34.5,33324,38243,71567,4755,2413,2.29,SC,Hispanic or Latino,2845
Chino Hills,California,41.9,39639,38674,78313,3358,24764,3.05,CA,Hispanic or Latino,22539
Miami,Florida,40.4,215840,225149,440989,7233,260789,2.5,FL,Hispanic or Latino,319942
Moreno Valley,California,30.7,98584,105597,204181,8529,54442,3.9,CA,Black or African-American,35550
Chico,California,29.9,46168,44168,90336,4519,8425,2.5,CA,White,80467
Yuma,Arizona,33.4,48298,45847,94145,7182,19326,2.64,AZ,American Indian and Alaska Native,1228
Inglewood,California,34.9,52995,58661,111656,2703,34171,3.12,CA,Black or African-American,44991
Gresham,Oregon,36.7,53866,56716,110582,6326,17860,2.67,OR,Asian,6641
Syracuse,New York,30.3,69462,74690,144152,5845,17733,2.39,NY,Black or African-American,46026
Reading,Pennsylvania,29.4,43668,44205,87873,2580,17043,2.95,PA,Hispanic or Latino,57032
Palo Alto,California,40.2,31451,35397,66848,2025,23348,2.55,CA,Black or African-American,1049
San Francisco,California,38.3,439752,425064,864816,26276,297199,2.37,CA,Hispanic or Latino,132114
Ontario,California,31,85059,86141,171200,4816,48557,3.52,CA,Hispanic or Latino,118292
Saint Petersburg,Florida,41.8,123524,133564,257088,20247,28567,2.42,FL,Asian,10893
Kalamazoo,Michigan,26.4,37175,38865,76040,3048,3482,2.36,MI,Hispanic or Latino,4114
Arden-Arcade,California,41.5,47596,48680,96276,6511,13458,2.18,CA,American Indian and Alaska Native,2587
Westland,Michigan,39.9,37742,44253,81995,4756,6429,2.41,MI,Asian,4843
